CODIGOTF,TIPOSDEFARMACOS,CODIGOPA,PRINCIPIOSACTIVOS,CARACTERISTICA,CODIGONC,NOMBRESCOMERCIALES,indicacion,POSOLOGIA   
2,NULL,2.3,AMPICILINA,"La ampicilina es bactericida tanto para bacterias Gram positivas como para bacterias Gram negativas. El meningococo y la listeria son sensibles a la ampicilina. Algunas cepas de neumococo, haemophilus y streptococcus viridans presentan resistencia variable a la ampicilina. Los enterococos son altamente sensibles. Como todos los antibióticos betalactámicos, la ampicilina es capaz de penetrar bacterias gram positivas, algunas gram negativas y aerobias. Interfiere con la síntesis de la pared celular durante la replicación celular. Esto se debe a su efecto inhibidor de la síntesis de la pared celular de la bacteria en sus últimas dos etapas (3 y 4), uniéndose a las PBP (proteínas fijadoras de penicilinas), lo que lleva a la destrucción de la pared y la consiguiente lisis celular.​ La ampicilina inhibe la formación de puentes en la capa de peptidoglicano (la que proporciona rigidez a la pared celular). La mayor efectividad ocurre en la fase logarítmica de crecimiento, cuando se están formando los puentes de péptiglicano, y tiene menor efecto en células en la fase estacionaria de crecimiento",2.3.1,AMPIBEX 250 MG CAPSULA ( AMPICILINA),"Indicaciones:Ampibex es un derivado semisintético de la penicilina de amplio espectro de acción, indicado para el tratamiento de infecciones de cualquier localización por gérmenes susceptibles. Las patologías que pueden tratarse con AMPIBEX son las siguientes: Infecciones respiratorias agudas altas: otitis media, sinusitis, faringoamigdalitis. Infecciones respiratorias agudas bajas: bronquitis, bronconeumonía, neumonía. Infecciones de piel y tejidos blandos, incluyendo la prevención y tratamiento de infecciones de heridas quirúrgicas o por mordedura. Infecciones periodontales. Infección de vías urinarias. Infecciones gastrointestinales como shigellosis o fiebre tifoidea. Meningitis bacteriana aguda. Sepsis. Tratamiento o prevención de la endocarditis bacteriana. Tratamiento y prevención de infecciones después de cirugía abdominal. Profilaxis pre-parto en pacientes de alto riesgo de transmisión perinatal del estreptococo del grupo B. Gonorrea.Contraindicaciones: Antecedentes de hipersensibilidad a las penicilnas y cefalosporinas.",AMPIBEX 250 MG CADA 6 HORAS
2,NULL,2.3,NULL,NULL,2.3.2,AMPIBEX 500 MG CAPSULA ( AMPICILINA),"Indicaciones:Ampibex es un derivado semisintético de la penicilina de amplio espectro de acción, indicado para el tratamiento de infecciones de cualquier localización por gérmenes susceptibles. Las patologías que pueden tratarse con AMPIBEX son las siguientes: Infecciones respiratorias agudas altas: otitis media, sinusitis, faringoamigdalitis. Infecciones respiratorias agudas bajas: bronquitis, bronconeumonía, neumonía. Infecciones de piel y tejidos blandos, incluyendo la prevención y tratamiento de infecciones de heridas quirúrgicas o por mordedura. Infecciones periodontales. Infección de vías urinarias. Infecciones gastrointestinales como shigellosis o fiebre tifoidea. Meningitis bacteriana aguda. Sepsis. Tratamiento o prevención de la endocarditis bacteriana. Tratamiento y prevención de infecciones después de cirugía abdominal. Profilaxis pre-parto en pacientes de alto riesgo de transmisión perinatal del estreptococo del grupo B. Gonorrea.Contraindicaciones: Antecedentes de hipersensibilidad a las penicilnas y cefalosporinas.",AMPIBEX 500 MG CADA 6 HORAS
2,NULL,2.3,NULL,NULL,2.3.3,AMPIBEX 1 G CAPSULA ( AMPICILINA),"Indicaciones:Ampibex es un derivado semisintético de la penicilina de amplio espectro de acción, indicado para el tratamiento de infecciones de cualquier localización por gérmenes susceptibles. Las patologías que pueden tratarse con AMPIBEX son las siguientes: Infecciones respiratorias agudas altas: otitis media, sinusitis, faringoamigdalitis. Infecciones respiratorias agudas bajas: bronquitis, bronconeumonía, neumonía. Infecciones de piel y tejidos blandos, incluyendo la prevención y tratamiento de infecciones de heridas quirúrgicas o por mordedura. Infecciones periodontales. Infección de vías urinarias. Infecciones gastrointestinales como shigellosis o fiebre tifoidea. Meningitis bacteriana aguda. Sepsis. Tratamiento o prevención de la endocarditis bacteriana. Tratamiento y prevención de infecciones después de cirugía abdominal. Profilaxis pre-parto en pacientes de alto riesgo de transmisión perinatal del estreptococo del grupo B. Gonorrea.Contraindicaciones: Antecedentes de hipersensibilidad a las penicilnas y cefalosporinas.",AMPIBEX 1 G CADA 6 HORAS
2,NULL,2.3,NULL,NULL,2.3.4,AMPIBEX 125 MG SUSPENCION ( AMPICILINA),"Indicaciones:Ampibex es un derivado semisintético de la penicilina de amplio espectro de acción, indicado para el tratamiento de infecciones de cualquier localización por gérmenes susceptibles. Las patologías que pueden tratarse con AMPIBEX son las siguientes: Infecciones respiratorias agudas altas: otitis media, sinusitis, faringoamigdalitis. Infecciones respiratorias agudas bajas: bronquitis, bronconeumonía, neumonía. Infecciones de piel y tejidos blandos, incluyendo la prevención y tratamiento de infecciones de heridas quirúrgicas o por mordedura. Infecciones periodontales. Infección de vías urinarias. Infecciones gastrointestinales como shigellosis o fiebre tifoidea. Meningitis bacteriana aguda. Sepsis. Tratamiento o prevención de la endocarditis bacteriana. Tratamiento y prevención de infecciones después de cirugía abdominal. Profilaxis pre-parto en pacientes de alto riesgo de transmisión perinatal del estreptococo del grupo B. Gonorrea.Contraindicaciones: Antecedentes de hipersensibilidad a las penicilnas y cefalosporinas.",AMPIBEX 125 MG CADA 6 HORAS
2,NULL,2.3,NULL,NULL,2.3.5,AMPIBEX 250 MG SUSPENCION ( AMPICILINA),"Indicaciones:Ampibex es un derivado semisintético de la penicilina de amplio espectro de acción, indicado para el tratamiento de infecciones de cualquier localización por gérmenes susceptibles. Las patologías que pueden tratarse con AMPIBEX son las siguientes: Infecciones respiratorias agudas altas: otitis media, sinusitis, faringoamigdalitis. Infecciones respiratorias agudas bajas: bronquitis, bronconeumonía, neumonía. Infecciones de piel y tejidos blandos, incluyendo la prevención y tratamiento de infecciones de heridas quirúrgicas o por mordedura. Infecciones periodontales. Infección de vías urinarias. Infecciones gastrointestinales como shigellosis o fiebre tifoidea. Meningitis bacteriana aguda. Sepsis. Tratamiento o prevención de la endocarditis bacteriana. Tratamiento y prevención de infecciones después de cirugía abdominal. Profilaxis pre-parto en pacientes de alto riesgo de transmisión perinatal del estreptococo del grupo B. Gonorrea.Contraindicaciones: Antecedentes de hipersensibilidad a las penicilnas y cefalosporinas.",AMPIBEX 250 MG CADA 6 HORAS
2,NULL,2.3,NULL,NULL,2.3.6,AMPIBEX 500 MG SUSPENCION ( AMPICILINA),"Indicaciones:Ampibex es un derivado semisintético de la penicilina de amplio espectro de acción, indicado para el tratamiento de infecciones de cualquier localización por gérmenes susceptibles. Las patologías que pueden tratarse con AMPIBEX son las siguientes: Infecciones respiratorias agudas altas: otitis media, sinusitis, faringoamigdalitis. Infecciones respiratorias agudas bajas: bronquitis, bronconeumonía, neumonía. Infecciones de piel y tejidos blandos, incluyendo la prevención y tratamiento de infecciones de heridas quirúrgicas o por mordedura. Infecciones periodontales. Infección de vías urinarias. Infecciones gastrointestinales como shigellosis o fiebre tifoidea. Meningitis bacteriana aguda. Sepsis. Tratamiento o prevención de la endocarditis bacteriana. Tratamiento y prevención de infecciones después de cirugía abdominal. Profilaxis pre-parto en pacientes de alto riesgo de transmisión perinatal del estreptococo del grupo B. Gonorrea.Contraindicaciones: Antecedentes de hipersensibilidad a las penicilnas y cefalosporinas.",AMPIBEX 500 MG CADA 6 HORAS
2,NULL,2.3,NULL,NULL,2.3.7,AMPIBEX 250 MG SOLUCION INYECTABLE ( AMPICILINA),"Indicaciones:Ampibex es un derivado semisintético de la penicilina de amplio espectro de acción, indicado para el tratamiento de infecciones de cualquier localización por gérmenes susceptibles. Las patologías que pueden tratarse con AMPIBEX son las siguientes: Infecciones respiratorias agudas altas: otitis media, sinusitis, faringoamigdalitis. Infecciones respiratorias agudas bajas: bronquitis, bronconeumonía, neumonía. Infecciones de piel y tejidos blandos, incluyendo la prevención y tratamiento de infecciones de heridas quirúrgicas o por mordedura. Infecciones periodontales. Infección de vías urinarias. Infecciones gastrointestinales como shigellosis o fiebre tifoidea. Meningitis bacteriana aguda. Sepsis. Tratamiento o prevención de la endocarditis bacteriana. Tratamiento y prevención de infecciones después de cirugía abdominal. Profilaxis pre-parto en pacientes de alto riesgo de transmisión perinatal del estreptococo del grupo B. Gonorrea.Contraindicaciones: Antecedentes de hipersensibilidad a las penicilnas y cefalosporinas.",AMPIBEX 250 MG CADA 24 HORAS
2,NULL,2.3,NULL,NULL,2.3.8,AMPIBEX 500 MG SOLUCION INYECTABLE ( AMPICILINA),"Indicaciones:Ampibex es un derivado semisintético de la penicilina de amplio espectro de acción, indicado para el tratamiento de infecciones de cualquier localización por gérmenes susceptibles. Las patologías que pueden tratarse con AMPIBEX son las siguientes: Infecciones respiratorias agudas altas: otitis media, sinusitis, faringoamigdalitis. Infecciones respiratorias agudas bajas: bronquitis, bronconeumonía, neumonía. Infecciones de piel y tejidos blandos, incluyendo la prevención y tratamiento de infecciones de heridas quirúrgicas o por mordedura. Infecciones periodontales. Infección de vías urinarias. Infecciones gastrointestinales como shigellosis o fiebre tifoidea. Meningitis bacteriana aguda. Sepsis. Tratamiento o prevención de la endocarditis bacteriana. Tratamiento y prevención de infecciones después de cirugía abdominal. Profilaxis pre-parto en pacientes de alto riesgo de transmisión perinatal del estreptococo del grupo B. Gonorrea.Contraindicaciones: Antecedentes de hipersensibilidad a las penicilnas y cefalosporinas.",AMPIBEX 500 MG CADA 24 HORAS
2,NULL,2.3,NULL,NULL,2.3.9,AMPIBEX  1 G SOLUCION INYECTABLE ( AMPICILINA),"Indicaciones:Ampibex es un derivado semisintético de la penicilina de amplio espectro de acción, indicado para el tratamiento de infecciones de cualquier localización por gérmenes susceptibles. Las patologías que pueden tratarse con AMPIBEX son las siguientes: Infecciones respiratorias agudas altas: otitis media, sinusitis, faringoamigdalitis. Infecciones respiratorias agudas bajas: bronquitis, bronconeumonía, neumonía. Infecciones de piel y tejidos blandos, incluyendo la prevención y tratamiento de infecciones de heridas quirúrgicas o por mordedura. Infecciones periodontales. Infección de vías urinarias. Infecciones gastrointestinales como shigellosis o fiebre tifoidea. Meningitis bacteriana aguda. Sepsis. Tratamiento o prevención de la endocarditis bacteriana. Tratamiento y prevención de infecciones después de cirugía abdominal. Profilaxis pre-parto en pacientes de alto riesgo de transmisión perinatal del estreptococo del grupo B. Gonorrea.Contraindicaciones: Antecedentes de hipersensibilidad a las penicilnas y cefalosporinas.",AMPIBEX 1 G CADA 24 HORAS
2,NULL,2.3,NULL,NULL,2.3.10,AMPICILINA GENFAR 500 MG CAPSULAS ( AMPICILINA),"Indicaciones:Bactericida. Inhibe la síntesis y la reparación de la pared bacteriana, amplio espectro.Infección ORL, respiratoria, odontoestomatológica, gastrointestinal, genitourinaria, de piel y tejido blando, neurológica, cirugía, traumatología, meningitis bacteriana y septicemia.contraindicaciones:Alérgicos a penicilinas. Mononucleosis infecciosa.",AMPICILINA GENFAR 500 MG  CADA 6 HORAS
2,NULL,2.3,NULL,NULL,2.3.11,AMPICILINA GENFAR 1 G TABLETA (AMPICILINA),"Indicaciones:Bactericida. Inhibe la síntesis y la reparación de la pared bacteriana, amplio espectro.Infección ORL, respiratoria, odontoestomatológica, gastrointestinal, genitourinaria, de piel y tejido blando, neurológica, cirugía, traumatología, meningitis bacteriana y septicemia.contraindicaciones:Alérgicos a penicilinas. Mononucleosis infecciosa.",AMPICILINA GENFAR 500 MG  CADA 6 HORAS
2,NULL,2.3,NULL,NULL,2.3.12,AMPICILINA GENFAR 250 MG SUSPENSIÓN ( AMPICILINA),"Indicaciones:Bactericida. Inhibe la síntesis y la reparación de la pared bacteriana, amplio espectro.Infección ORL, respiratoria, odontoestomatológica, gastrointestinal, genitourinaria, de piel y tejido blando, neurológica, cirugía, traumatología, meningitis bacteriana y septicemia.contraindicaciones:Alérgicos a penicilinas. Mononucleosis infecciosa.",AMPICILINA GENFAR 500 MG  CADA 6 HORAS
2,NULL,2.3,NULL,NULL,2.3.13,AMPICILINA GENFAR 500 MG SOLUCION INYECTABLE ( AMPICILINA),"Indicaciones:Bactericida. Inhibe la síntesis y la reparación de la pared bacteriana, amplio espectro.Infección ORL, respiratoria, odontoestomatológica, gastrointestinal, genitourinaria, de piel y tejido blando, neurológica, cirugía, traumatología, meningitis bacteriana y septicemia.contraindicaciones:Alérgicos a penicilinas. Mononucleosis infecciosa.",AMPICILINA GENFAR 500 MG  CADA 24 HORAS
2,NULL,2.3,NULL,NULL,2.3.14,AMPICILINA GENFAR  1 G SOLUCION INYECTABLE ( AMPICILINA),"Indicaciones:Bactericida. Inhibe la síntesis y la reparación de la pared bacteriana, amplio espectro.Infección ORL, respiratoria, odontoestomatológica, gastrointestinal, genitourinaria, de piel y tejido blando, neurológica, cirugía, traumatología, meningitis bacteriana y septicemia.contraindicaciones:Alérgicos a penicilinas. Mononucleosis infecciosa.",AMPICILINA GENFAR 500 MG  CADA 24 HORAS
2,NULL,2.4,AZITROMICINA ,"La azitromicina es un antibiótico macrólido semisintético activo in vitro frente a una amplia gama de microorganismos gram-positivos y gram-negativos, como:Aerobios gram-positivos: Staphylococcus aureus, Streptococcus pyogenes (estreptococos beta-hemolíticos grupo A), Streptococcus pneumoniae, estreptococos alfa-hemolíticos (grupo viridans) y otros estreptococos, y Corynebacterium diphtheriae. La azitromicina presenta resistencia cruzada con cepas gram-positivas resistentes a la eritromicina, incluyendo Streptococcus faecalis (enterococos) y la mayoría de las cepas de estafilococos meticilín-resistentes.Aerobios gram-negativos: Haemophilus influenzae y parainfluenzae, Morarella catarrhalis, Acinetobacter spp, Yersinia spp, Legionella pneumophila, Bordetella pertussis, Bordetella parapertussis, Shigella spp, Pasteurella spp, Vibrio cholerae y parahaemolyticus, Plesiomonas shigelloides. La actividad frente a Escherichia coli, Salmonella enteriditis, Salmonella typhi, Enterobacter spp. Aeromonas hydrophila y Klebsiella spp es variable y se deben hacer las correspondientes determinaciones de sensibilidad. Proteus spp, Serratia spp, Morganella spp y Pseudomonas aeruginosa, son normalmente resistentes. Anaerobios: Bacteroides fragilis y especies afines, Clostridium perfringens, Peptococcus spp y Peptostreptocoecus spp, Fusobacterium necrophorum y Propionibacterium acnes.Microorganismos causantes de enfermedades de transmisión sexual: la azitromicina es activo frente a Chlamydia trachomatis, y también posee una buena actividad frente a Treponema pallidum, Neisseria gonorhoeae, y Haemophilus ducrepOtros microorganismos: Borrelia burgdorferi (agente patógeno de la enfermedad de Lyme), Chlamydia pneumoniae (Twar), Toxoplasma gondii, Mycoplasma pneumoniae, Mycoplasma hominis, Ureaplasma urealyticum, Pneumocistis carinii, Mycobacterium avium, Campylobacter spp, y Listeria monocytogenes",2.4.1,AZITROMICINA GENFAR 500 MG COMPRIMIDOS (AZITROMICINA),"Indicaciones:Infecciones causadas por organizmos subceptibles. Infecciohnes del tracto respiratorio inferior y superior, infecciones de la piel tejido blandos y otitis media, enfermedades de transmision sexual e infecciones genitales no complicadas debidas a chlamydia trachomatis y neisseria gonorrhoeae no multirresistente.Contraindicacion:hipersensibilidad a la azitromicina o cualquier antibiotico macrolido.",AZITROMICINA GENFAR 500 MG CADA 12 HORAS 
2,NULL,2.4,NULL,NULL,2.4.2,AZITROMICINA GENFAR 200 MG COMPRIMIDOS (AZITROMICINA),"Indicaciones:Infecciones causadas por organizmos subceptibles. Infecciohnes del tracto respiratorio inferior y superior, infecciones de la piel tejido blandos y otitis media, enfermedades de transmision sexual e infecciones genitales no complicadas debidas a chlamydia trachomatis y neisseria gonorrhoeae no multirresistente.Contraindicacion:hipersensibilidad a la azitromicina o cualquier antibiotico macrolido.",AZITROMICINA GENFAR 200 MG CADA 12 HORAS 
2,NULL,2.4,NULL,NULL,2.4.3,AZITROMICINA MK 200 MG SUSPENCION (AZITROMICINA),"Indicaciones:Infecciones causadas por organizmos subceptibles. Infecciohnes del tracto respiratorio inferior y superior, infecciones de la piel tejido blandos y otitis media, enfermedades de transmision sexual e infecciones genitales no complicadas debidas a chlamydia trachomatis y neisseria gonorrhoeae no multirresistente.Contraindicacion:hipersensibilidad a la azitromicina o cualquier antibiotico macrolido.",AZITROMICINA MK 200 MG CADA 24 HORAS 
2,NULL,2.4,NULL,NULL,2.4.4,AZITROMICINA MK 500 MG TABLETA (AZITROMICINA),"Indicaciones:Infecciones causadas por organizmos subceptibles. Infecciohnes del tracto respiratorio inferior y superior, infecciones de la piel tejido blandos y otitis media, enfermedades de transmision sexual e infecciones genitales no complicadas debidas a chlamydia trachomatis y neisseria gonorrhoeae no multirresistente.Contraindicacion:hipersensibilidad a la azitromicina o cualquier antibiotico macrolido.",AZITROMICINA MK 500 MG CADA 12 HORAS
2,NULL,2.4,NULL,NULL,2.4.5,3 MICINA 500 MG TABLETA (AZITROMICINA),"Indicaciones:antibiótico macrólido que actúa inhibiendo la síntesis de proteínas bacterianas. Presenta de esta manera un amplio espectro de acción frente a bacterias gram positivas y gram negativas tanto aerobias como anaerobias.Está indicada para el tratamiento de infecciones causadas por bacterias sensibles. Se considera que este antibiótico es efectivo para la mayor parte de infecciones localizadas en el tracto respiratorio tanto superior como inferior (sinusitis, faringitis, amigdalitis, bronquitis, neumonía). En otitis media, en infecciones de la piel y de tejidos blandos.Es efectiva también en el tratamiento de enfermedades de transmisión sexual cuyos microorganismos causantes sean susceptibles como Chlamydia tracomatis, Haemophilus ducreyi (chancro blando) y Neisseria gonorrhoeae (gonorrea).Contraindicaciones:Hipersensibilidad a azitromicina, eritromicina o a cualquier otro antibiótico macrólido o ketólido.",3 MICINA 500 MG CADA  12 HORAS
2,NULL,2.5,CLINDAMICINA ,"Puede tener acción bacteriostática o bactericida, dependiendo de la concentración alcanzada por el  fármaco, del sitio de la infección y de la susceptibilidad del organismo infectante. La Clindamicina inhibe la síntesis de las proteínas de los organismos susceptibles al unirse a la subunidad ribosomal 50 S; el sitio de acción parece ser el mismo de la eritromicina, cloranfenicol, lincomicina, oleandromicina y troleandromicina.La Clindamicina es un antibiótico semisintético derivado de la lincomicina. La potencia del Clorhidrato de Clindamicina hidratado se expresa en términos de Clindamicina. Cada mg del clorhidrato hidratado tiene una potencia no inferior a 800 µg de Clindamicina. El clorhidrato de Clindamicina se hidroliza rápidamente in vivo, transformándose rápidamente en el compuesto activo Clindamicina base. Tiene potente actividad sobre cocos aerobios Gram (+), con excepción de Streptococcus faecalis. Actividad sobre anaerobios y microaerofílicos Gram (+) y Gram (-). Bacterias como Chlamydia trachomatsy Gardnerella vaginalis,y gérmenes como Plasmodium falciparum, Toxoplasma gondii y Pneumocystis carinii también son susceptibles. En su presentación de crema vaginal y óvulos vaginales, es efectiva en el tratamiento de la vaginosis bacteriana, un síndrome vaginal no inflamatorio caracterizado por el reemplazo de la flora vaginal normal (predominante Lactobacillus spp. productores de peróxido de hidrógeno) por una mezcla de flora que incluye Gardnerella vaginalis, anaerobios y Mycoplasma hominis. El flujo vaginal no es un indicador confiable de infección ya que muchas mujeres pueden ser asintomáticas. Frecuentemente la vaginosis bacteriana es una condición polimicrobiana en la cual laGardnerella actúa sinérgicamente con bacterias anaeróbicas y el Mycoplasma genital.",2.5.1,CLINDAMICINA MK 300 MG CAPSULA (CLINDAMICINA),"Indicaciones:Clindamicina MK está indicada como tratamiento de las infecciones causadas por gérmenes sensibles a la Clindamicina.Contraindicaiones:Hipersensibilidad a la Clindamicina, recién nacidos, embarazo. Adminístrese con precaución en pacientes con disfunción hepática o renal. Puede producir colitis pseudomembranosa a veces fatal.",CLINDAMICINA MK 300 MG CADA 8 HORAS
2,NULL,2.5,NULL,NULL,2.5.2,CLINDAMICINA MK 600 MG SOLUCION INYECTABLE (CLINDAMICINA),"Indicaciones:Clindamicina MK está indicada como tratamiento de las infecciones causadas por gérmenes sensibles a la Clindamicina.Contraindicaiones:Hipersensibilidad a la Clindamicina, recién nacidos, embarazo. Adminístrese con precaución en pacientes con disfunción hepática o renal. Puede producir colitis pseudomembranosa a veces fatal.",CLINDAMICINA MK 600 MG CADA 24 HORAS
2,NULL,2.6,CEFALEXINA,"La cefalexina, un antibiótico beta-lactámicos como las penicilinas, es principalmente bactericida. Inhibe la tercera y última etapa de la síntesis de la pared celular bacteriana uniéndose preferentemente a las proteínas de unión a penicilina (PBP específicas) que se encuentran dentro de la pared celular bacteriana. Estas proteínas de unión a penicilinas son responsables de varios pasos en la síntesis de la pared celular y se encuentran en cantidades de varios cientos a varios miles de moléculas por célula bacteriana. Esta proteínas de unión a penicilinas varian entre diferentes especies bacterianas, y por lo tanto, la actividad intrínisica de la cefalexina, así como la de las otras cefalosporinas y penicilinas contra un organismo particular depende de su capacidad para acceder a y fijarse a la PBPs. Como todos los antibióticos beta-lactámicos, la capacidad de cefalexina para interferir con la síntesis de la pared celular mediada por las PBPs, en última instancia conduce a la lisis celular.  Esta lisis está poducida por enzimas autolíticos bacteriano presentes en la pared celular (es decir, autolisinas).",2.6.1,HG CEFALEXIN 500 MG TABLETAS  (CEFALEXINA),"Indicaciones:esta indicada en el tratamiento de infecciones causadas por agentes patógenos sensibles grampositivos y gramnegativos productores de infecciones en las vías respiratorias, infecciones de la piel y tejido subcutáneo, infecciones del aparato genitourinario.Contraindicaciones:Hipersensibilidad a las penicilinas y cefalosporinas.",HG CEFALEXIN 500 MG CADA 6 HORAS 
2,NULL,2.6,NULL,NULL,2.6.2,HG CEFALEXIN 250 MG SUSPENCION  (CEFALEXINA),"Indicaciones:esta indicada en el tratamiento de infecciones causadas por agentes patógenos sensibles grampositivos y gramnegativos productores de infecciones en las vías respiratorias, infecciones de la piel y tejido subcutáneo, infecciones del aparato genitourinario.Contraindicaciones:Hipersensibilidad a las penicilinas y cefalosporinas.",HG CEFALEXIN 250 MG CADA 6 HORAS 
2,NULL,2.6,NULL,NULL,2.6.3,HG CEFALEXIN 125 MG SUSPENCION  (CEFALEXINA),"Indicaciones:esta indicada en el tratamiento de infecciones causadas por agentes patógenos sensibles grampositivos y gramnegativos productores de infecciones en las vías respiratorias, infecciones de la piel y tejido subcutáneo, infecciones del aparato genitourinario.Contraindicaciones:Hipersensibilidad a las penicilinas y cefalosporinas.",HG CEFALEXIN 125 MG CADA 6 HORAS 
2,NULL,2.6,NULL,NULL,2.6.4,HG CEFALEXIN 100 MG GOTAS PEDIATRICAS  (CEFALEXINA),"Indicaciones:esta indicada en el tratamiento de infecciones causadas por agentes patógenos sensibles grampositivos y gramnegativos productores de infecciones en las vías respiratorias, infecciones de la piel y tejido subcutáneo, infecciones del aparato genitourinario.Contraindicaciones:Hipersensibilidad a las penicilinas y cefalosporinas.",HG CEFALEXIN 100 MG CADA 6 HORAS 
2,NULL,2.7,GENTAMICINA ,"Antibiótico de espectro antibacteriano y acción bactericida de gran utilidad en infecciones graves causadas por Gram-negativos. La Gentamicina es obtenida de los cultivos de la Micromonospora purpurea.Inhibe la síntesis proteica de las bacterias por unión irreversible a la subunidad ribosómica 30S. El espectro de la  actividad in vitro de la Gentamicina incluye bacterias aeróbicas gram negativas (incluyendo la mayoría de Enterobacterias y Pseudomonas aeruginosa) y algunas bacterias aeróbicas gram positivas. La Gentamicina es inactiva contra hongos, virus y en la mayoría de bacterias anaerobias.",2.7.1,GENTAMICINA MK  20 MG SOLUCION INYECTABLE ( GENTAMICINA SULFATO),"Indicaciones:está indicada en infecciones producidas por gérmenes sensibles a la Gentamicina.Contraindicaciones:Hipersensibilidad a la Gentamicina o a otros aminoglucósidos, tratamiento previo o concomitante con medicamentos oto o nefrotóxicos, recién nacidos, adultos mayores, embarazo y lactancia. Durante el tratamiento se debe controlar la función renal y auditiva, especialmente en pacientes con insuficiencia renal. Adminístrese con precaución en pacientes con trastornos neurológicos. Ceñirse a la dosis y al tiempo estrictamente necesario. Todas las presentaciones contienen metabisulfito de sodio que puede causar reacciones de hipersensibilidad especialmente en pacientes con asma",GENTAMICINA MK  20 MG  CADA 12 HORAS
2,NULL,2.7,NULL,NULL,2.7.2,GENTAMICINA MK  40 MG SOLUCION INYECTABLE ( GENTAMICINA SULFATO),"Indicaciones:está indicada en infecciones producidas por gérmenes sensibles a la Gentamicina.Contraindicaciones:Hipersensibilidad a la Gentamicina o a otros aminoglucósidos, tratamiento previo o concomitante con medicamentos oto o nefrotóxicos, recién nacidos, adultos mayores, embarazo y lactancia. Durante el tratamiento se debe controlar la función renal y auditiva, especialmente en pacientes con insuficiencia renal. Adminístrese con precaución en pacientes con trastornos neurológicos. Ceñirse a la dosis y al tiempo estrictamente necesario. Todas las presentaciones contienen metabisulfito de sodio que puede causar reacciones de hipersensibilidad especialmente en pacientes con asma",GENTAMICINA MK  40 MG CADA 12 HORAS
2,NULL,2.7,NULL,NULL,2.7.3,GENTAMICINA MK  80 MG SOLUCION INYECTABLE ( GENTAMICINA SULFATO),"Indicaciones:está indicada en infecciones producidas por gérmenes sensibles a la Gentamicina.Contraindicaciones:Hipersensibilidad a la Gentamicina o a otros aminoglucósidos, tratamiento previo o concomitante con medicamentos oto o nefrotóxicos, recién nacidos, adultos mayores, embarazo y lactancia. Durante el tratamiento se debe controlar la función renal y auditiva, especialmente en pacientes con insuficiencia renal. Adminístrese con precaución en pacientes con trastornos neurológicos. Ceñirse a la dosis y al tiempo estrictamente necesario. Todas las presentaciones contienen metabisulfito de sodio que puede causar reacciones de hipersensibilidad especialmente en pacientes con asma",GENTAMICINA MK  80 MG CADA 12 HORAS
2,NULL,2.7,NULL,NULL,2.7.4,GENTAMICINA MK  120 MG SOLUCION INYECTABLE ( GENTAMICINA SULFATO),"Indicaciones:está indicada en infecciones producidas por gérmenes sensibles a la Gentamicina.Contraindicaciones:Hipersensibilidad a la Gentamicina o a otros aminoglucósidos, tratamiento previo o concomitante con medicamentos oto o nefrotóxicos, recién nacidos, adultos mayores, embarazo y lactancia. Durante el tratamiento se debe controlar la función renal y auditiva, especialmente en pacientes con insuficiencia renal. Adminístrese con precaución en pacientes con trastornos neurológicos. Ceñirse a la dosis y al tiempo estrictamente necesario. Todas las presentaciones contienen metabisulfito de sodio que puede causar reacciones de hipersensibilidad especialmente en pacientes con asma",GENTAMICINA MK  120 MG CADA 12 HORAS
2,NULL,2.7,NULL,NULL,2.7.5,GENTAMICINA MK  160 MG SOLUCION INYECTABLE ( GENTAMICINA SULFATO),"Indicaciones:está indicada en infecciones producidas por gérmenes sensibles a la Gentamicina.Contraindicaciones:Hipersensibilidad a la Gentamicina o a otros aminoglucósidos, tratamiento previo o concomitante con medicamentos oto o nefrotóxicos, recién nacidos, adultos mayores, embarazo y lactancia. Durante el tratamiento se debe controlar la función renal y auditiva, especialmente en pacientes con insuficiencia renal. Adminístrese con precaución en pacientes con trastornos neurológicos. Ceñirse a la dosis y al tiempo estrictamente necesario. Todas las presentaciones contienen metabisulfito de sodio que puede causar reacciones de hipersensibilidad especialmente en pacientes con asma",GENTAMICINA MK  160 MG CADA 12 HORAS
